4 152 598 4 538 4254 55 1 25 404 368 706 284 111 3 445 507 13 360 677 3 4104 6270 55 1 9294 249 4119 2 1 44 25 11 298 12 23 2037 5 44 4 7 3696 32 8 13 3709 9 152 31 12 95 117 125 196 40 752 37 170 80 16 133 5 790 55 1 138 201 249 381 16 1749 125 81 284 15 4 73 17 25 2 4 67 103 9 74 3 339 181 5 86 14 1 9294 18 1837 47 376 488 2 18 1837 85 119 6128 84 12 79 6143 249 719 39 3 485 45 1012 1837 112 3321 112 3390 112 8101 1 249 18 109 33 8 1207 1 89 15 4 1677 13 360 11 165 398 139 5 493 3 2894 6 488 28 12 4 62 1 266 249 27 206 548 59 6930 173 602 4744 514 178 34 371 939 64 21 848 123 1 773 2 8729 1565 152 161 5 97 42 1 629 182	5
89 993 5 50 5 2891 24 4238 2 3487 18 474 459 1172 186 16 46 248 998 6 1061 42 6 1 604 12 18 474 2 44 339 734 6 1 286 217 263 1061 966 8 257 1 510 6 284 60 693 14 60 2137 36 196 3 3940 657 18 118 596 263 966 176 9982 278 10 110 19 3 1206 120 93 3049 2 98 171 1385 6 217 1 171 850 6 1 1061 64 29 720 998 10 247 12 152 1901 2 3 529 6 1410 1 875 128 42 5 55 3 75 111 7950 639 230 486 18 20 6158 1491 318 169 7 40 354 83 112 23 2169 146 2 18 132 13 153 33 256 2381 4 154 234 16 135 11 2245 36 37 10 47 459 1172 19 45 22 1134 91 34 30 2 4 70 31 65	5
110 43 1282 14 1 4230 2 360 17 25 8 1 339 1284 1796 763 788 21 480 12 9 7 1 4657 3640 43 19 490 10 337 11 1970 1079 1302 24 670 615 1 591 186 16 108 60 185 21 415 14 1 965 1410 520 676 2 4 808 1 5717 96 14 1303 210 545 1430 23 56 388 202 14 2923 12 7 41 211 360 23 1 789 3391 14 6208 4 373 169 2 39 1 30 7 134 33 29 69 41 730 2 613 205 2 217 1832 33 8 59 1538 115 12 3305 1266 6182 32 81 32 56 210 387 33 8 141 3 75 679 11 1 65 2288 371 1114 823 48 3791 3132 1114 823 1082 32 81 32 644 2360 1161 2 79 489 234 3 570 5 4435 679 10 3 145 8852 185	5
4 394 31 2769 2 1297 12 17 8 22 3 200 1011 208 4 1781 5 103 1 208 8 3 26 25 11 3 4245 10 749 554 951 547 2 1092 1053 10 247 221 10 1224 1053 392 20 5 50 1525 11 3 4245 9 8 34 1644 14 371 1259 17 208 62 2884	3
1021 73 17 208 20 63 3 2050 10 6234 15 7 41 434 14 1 1315 121 1050 88 188 506 11 2783 1270 94 74 876 389 58 3110 291 88 12 150 33 714 137 2233 19 1 1245 39 29 1565 42 6 3 251 232 19 171 553 1693 27 47 208 16 621 5 414 38 12 60 182 1565 313 962 873 2783 11 9014 378 52 37 3058 3300 292 17 7 93 1841 291 88 1964 40 7965 39 47 2015 387 5 5330 1 1166 157 112 671 5 436 1 79 208 309 85 5 1389 3 5223 10 38 464 94 3292 39 29 1565 42 6 1 699 2271 1 1245 68 1154 783 4427 331 4 1527 12 1 1245 1536 3406 699 4004 19 1 266 157 251 232 19 1 4405 27 47 208 3520 5 158 9 220 20 3406 49 19 1 1245 4004 94 141 3292 39 806 29 1565 42 112 505 4 848 9 1220 48 44 6 60 5898 2 9 7 1180 76	2
106 123 132 3 1450 2 522 5 31 572 177 5 1 566 201 4042 41 1662 22 5 956 9 7 8756 3300 292 12 157 4 244 5 31 572 1525 15 1 3078 1755 7 12 17 7 39 12 7 670 899 5 1683 81 4 132 1450 15 94 40 132 194 1755 12 21 481 5 31 3 1411 532 5 408 1525 4 429 9 130 216 68 80 13 328 1700 47 67	2
4652 681 3026 1223 5 1103 1 193 24 41 26 2 1 113 7 41 38 497 14 56 6859 1 423 7 145 2 211 32 11 245 29 339 881 198 215 507 774 19 1 382 29 69 145 2 23 3 383 681 3 2842 55 4299 1 383 7 323 15 1 2842 7 90 4 4109 1 461 113 862 5 3 389 2 252 42 12 18 109 391 6 1 2580 947 43 209 125 238 674 10 117 45 1218 4581	3
4530 10 1 2938 180 40 416 180 1 208 3808 1331 17 612 4 20 112 4352 10 1 4 154 349 728 9 297 36 60 221 10 56 323 5025 3389 27 17 8 60 612 5 50 151 203 2 31 6140 13 224	1
21 407 1004 1 138 99 197 604 237 93 1 6186 1461 9 8 256 170 124 1193 1 138 6186 521 2 1384 35 1 2110 6308 99 47 58 8 34 21 98 3 131 2 136 4 220 20 1192 117 5 108 3 131 48 3 138 1894 427 99 911 664 143 14 138 1894 690 2 1287 9 458 65 3393 6 2833 14 13 4140 1319 45 7 1 117 2706 664 143	3
27 4467 3 570 5 10 53 224 1638 368 237 65 2633 88 5 508 2 1 6 194 549 6 2144 1 278 5888 6 2 7088 869 53 224 24 141 754 3582 237 530 15 124 13 201 853 20 10 1 6 3 75 1608 2 1418 48 13 223 1027 73 4 20 48 1 201 508 1917 874 10 5414 80 37 170 2 61 1962 11 546 4400 11 546 440 3 138 8643 522 4536 620 7925 442 442 442 83 91 4536 508 11 13 4008 4 232 1 210 329 508 195 2 1 5268 508 2292 2 1 286 132 226 169 7 1305 2 290 31 65 5 97 1 710 1 99 8 3 556 241 268 6 3 130 4674 935 14 3 126 370 312 2 3 8717 322 37 2655 2 37 1653 50 1086 97 9 16 40 392 1586 11 73	5
